external_gene_name,log2FoldChange,padj,baseMean
,3.327405335,0.000160406,156.8727673
IL1RL2,2.151100257,0.000163912,130.967555
EFNB3,-3.264825507,0.000165028,664.9065228
,3.88554013,0.000165298,177.371198
EIF2S2P2,2.985587698,0.000166114,46.86814904
,2.853740001,0.00016666,67.32271856
AIMP1P1,3.401667916,0.00016789,66.2668658
,2.356365875,0.000168112,66.9471637
H2AC9P,-5.755190015,0.000168623,27.02689082
GRM6,3.639018153,0.000174925,442.5142823
LEMD1-AS1,5.305512221,0.00018223,90.28361545
,3.481280019,0.00018223,32.49677941
,6.191493432,0.00018223,48.21543454
MATN4,4.475107857,0.000182988,337.8241448
RN7SL5P,7.356382087,0.000183772,21.91113073
CACNA2D2,-3.340393742,0.000183863,1239.874747
HMGB3P22,2.521846239,0.000184598,57.45158271
KCNE4,-4.491487902,0.000185956,4386.244541
CALML5,6.107578341,0.000186272,4454.934946
SLC15A2,1.992120331,0.000190583,468.6699294
SLC25A23,-2.029957742,0.000191305,4346.679592
NPIPP1,1.463552299,0.000192038,311.1672372
HDAC1P2,3.585904199,0.000193945,58.37216509
NDUFA6-DT,2.212497607,0.000193945,400.7359915
CDCA4P4,1.996587503,0.000194257,282.1350968
NHSL1-AS1,2.699984867,0.000194257,197.0683739
PTMAP1,2.602288702,0.000194525,120.3203305
,4.278101567,0.000195193,224.4054849
CACFD1,-2.370823327,0.000195193,6789.102787
C5AR2,-3.211407638,0.000195915,914.1267227
FABP2,2.52480584,0.000196123,13.92786327
CCDC144CP,3.323489021,0.000196123,587.6773536
,6.098862936,0.000196123,30.81462087
LINC02044,3.013311927,0.000196156,16.90100731
,1.991952075,0.000196156,515.6218216
WNT6,4.865501856,0.000196616,706.3814363
PRKAG3,5.633329399,0.000199914,44.15106189
STOX2,2.706976465,0.000199914,832.2594433
,6.981408486,0.000200323,11.28943403
RN7SL170P,6.362076596,0.000200323,11.08474829
RPL7AP20,3.419379215,0.000201145,46.99476906
,3.727420018,0.000203311,22.21471972
ACRV1,2.268480958,0.000207171,27.5189862
,2.810662062,0.000208956,180.2730013
,5.80966617,0.000209533,21.35178976
MEIS3,-2.609176793,0.000210601,3666.403574
IL22RA2,4.449209142,0.00021078,33.81333745
,-4.223594699,0.000214683,84.60603776
,6.10042611,0.000214739,36.55227029
NA,6.566424284,0.00021517,28.72291135
LYPLAL1-DT,2.179875692,0.000215893,52.84218404
KALRN,2.794146142,0.000215893,2352.418167
,2.970694362,0.000215893,36.96270467
ERBB4,-4.217369453,0.000216815,2377.43002
,2.259032476,0.000223319,45.05517347
,2.410594957,0.000223734,86.79187378
PLEKHG1,2.493906396,0.000224417,1856.399643
BCAN-AS2,-4.53304889,0.00022496,86.42170525
LIX1L-AS1,2.347330988,0.000225507,45.33902167
MBOAT7,-1.662759242,0.000228333,10478.36266
SPPL2C,-6.381603966,0.000228667,45.0133998
TNFRSF13C,4.500700516,0.000228667,681.4471521
,4.931398955,0.000229278,192.5756366
ANXA9,-2.598586326,0.000229278,2024.596624
LINC02275,4.355970024,0.000229278,16.08740897
FGF10,-5.005522339,0.000229278,1175.136835
LMX1B,-3.377522942,0.000229278,6004.597426
,1.664599744,0.000229278,219.6827656
USP32P3,3.173439748,0.000229278,435.8452052
PPP4R2P2,2.541170269,0.000229703,104.7305447
CNGB1,3.245140816,0.000229703,18.79917108
ZNF292,2.069587843,0.000233632,15084.07744
,5.420131436,0.000233991,8.672242286
SLC16A1-AS1,2.749236561,0.000234643,920.8402878
,7.351891101,0.000234643,21.78980261
RN7SKP266,7.572234728,0.000237256,37.87830652
NPNT,-3.34412118,0.000237801,5256.438461
ST18,2.717164515,0.000237801,25.17207145
RPSAP13,2.895297241,0.000237801,67.98938632
,1.730634115,0.000238176,534.9415286
,2.981054527,0.000239804,252.1310571
,2.724115047,0.000239831,74.2998413
CT83,10.22495195,0.000239847,106.6182949
RNU6-26P,2.824503347,0.000244385,23.68034089
KBTBD12,4.262808362,0.000246129,181.252274
FAM204BP,3.487841185,0.000251833,93.24185975
RNU6-1242P,5.821744845,0.000259894,5.083053888
,5.104126879,0.000262657,17.89431319
C21orf91-OT1,4.465912845,0.000269576,47.66475285
ROCR,5.323448751,0.000270783,811.5548271
GPR160,-2.464526857,0.000271145,1130.512783
POLR2F,1.683707398,0.000271774,1100.914414
KRT18P11,5.689694585,0.000272499,94.18619182
NA,1.974943081,0.00027515,85.04828454
COL22A1,4.781023745,0.000278499,2375.997457
LINC02473,5.15288342,0.000278822,165.3884614
,4.776758925,0.000284363,13.83390649
HIKESHIP1,5.734460713,0.000292062,24.81728956
SERBP1P3,4.364033214,0.000292346,33.69680256
SETP21,4.505093123,0.00029758,69.81545968
PRR7-AS1,2.012832767,0.000298711,168.637622
KRT78,7.251386299,0.000298711,41.12120398
SLC6A15,4.887513337,0.000298751,116.2783591
MT-TK,1.961164768,0.000309418,61.89331681
LINC00342,2.03811903,0.000311817,11466.06406
,3.201879754,0.000314131,472.422088
,4.167170032,0.000314232,20.10737505
RP1,-4.108043487,0.000314232,711.2588581
SLC39A11,-2.232049619,0.000315803,1905.320484
,5.678459644,0.00031784,180.1636598
RN7SL280P,3.054011477,0.000319952,55.12019486
RN7SL308P,2.238423668,0.000322584,32.29737905
