"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162891",18.6964048831735,7.43259734018901,2.15086834728026,3.45562635183479,0.000549015805925754,0.00628223897634133
"ENSG00000285336",18.6964048831735,7.43259734018901,2.15086834728026,3.45562635183479,0.000549015805925754,0.00628223897634133
"ENSG00000278965",18.6964048831735,7.43259734018901,2.15086834728026,3.45562635183479,0.000549015805925754,0.00628223897634133
"ENSG00000259457",18.6964048831735,7.43259734018901,2.15086834728026,3.45562635183479,0.000549015805925754,0.00628223897634133
"ENSG00000171236",505.195164115962,7.41559633698463,0.91340321339972,8.11864489657696,4.71417646808605e-16,1.13026540389835e-13
"ENSG00000234418",18.2714865903741,7.39943062155348,2.15112405911945,3.43979724934246,0.000582150120037101,0.00658558333127732
"ENSG00000162344",18.2714865903741,7.39943062155348,2.15112405911945,3.43979724934246,0.000582150120037101,0.00658558333127732
"ENSG00000180777",686.537217073736,7.37241223541013,0.845521279426979,8.7193692397742,2.79755859757576e-18,9.04965800623732e-16
"ENSG00000171195",17.8465682975747,7.36548343822943,2.15139191511354,3.42358981015354,0.000617998270560455,0.00688976791842822
"ENSG00000272541",17.8465682975747,7.36548343822943,2.15139191511354,3.42358981015354,0.000617998270560455,0.00688976791842822
"ENSG00000223561",17.8465682975747,7.36548343822943,2.15139191511354,3.42358981015354,0.000617998270560455,0.00688976791842822
"ENSG00000268615",17.8465682975747,7.36548343822943,2.15139191511354,3.42358981015354,0.000617998270560455,0.00688976791842822
"ENSG00000196415",17.8465682975747,7.36548343822943,2.15139191511354,3.42358981015354,0.000617998270560455,0.00688976791842822
"ENSG00000198406",17.4216500047753,7.33071817212174,2.15167280142916,3.40698556362874,0.000656846010929977,0.00717373702022908
"ENSG00000271367",17.4216500047753,7.33071817212174,2.15167280142916,3.40698556362874,0.000656846010929977,0.00717373702022908
"ENSG00000285987",17.4216500047753,7.33071817212174,2.15167280142916,3.40698556362874,0.000656846010929977,0.00717373702022908
"ENSG00000254404",17.4216500047753,7.33071817212174,2.15167280142916,3.40698556362874,0.000656846010929977,0.00717373702022908
"ENSG00000279965",17.4216500047753,7.33071817212174,2.15167280142916,3.40698556362874,0.000656846010929977,0.00717373702022908
"ENSG00000183206",17.4216500047753,7.33071817212174,2.15167280142916,3.40698556362874,0.000656846010929977,0.00717373702022908
"ENSG00000284721",16.9967317119759,7.29509441806293,2.15196769260189,3.38996465566944,0.00069901635394706,0.00755935462205578
"ENSG00000289432",16.9967317119759,7.29509441806293,2.15196769260189,3.38996465566944,0.00069901635394706,0.00755935462205578
"ENSG00000186115",16.9967317119759,7.29509441806293,2.15196769260189,3.38996465566944,0.00069901635394706,0.00755935462205578
"ENSG00000226191",16.5718134191766,7.25856870150604,2.15227766283329,3.37250570725654,0.000744875427114407,0.00792285426246245
"ENSG00000198251",16.5718134191766,7.25856870150604,2.15227766283329,3.37250570725654,0.000744875427114407,0.00792285426246245
"ENSG00000185652",89.3962716004889,7.23785623664828,1.58352622356375,4.57072079321767,4.86049514021571e-06,0.000130078083663856
"ENSG00000179593",1784.95100396018,7.23545348110869,0.721692606565027,10.0256721702424,1.17556957829677e-23,8.2612138692755e-21
"ENSG00000016402",1066.80640310668,7.22979515328821,0.768475515194118,9.40797072950587,5.05807596090567e-21,2.34275134193812e-18
"ENSG00000149575",353.760821766761,7.22225304623179,0.969086511107435,7.45264015487995,9.14905793695086e-14,1.54747547492174e-11
"ENSG00000232638",16.1468951263771,7.22109415954273,2.15260389906636,3.35458565446003,0.000794839414705974,0.00831541573511314
"ENSG00000258537",16.1468951263771,7.22109415954273,2.15260389906636,3.35458565446003,0.000794839414705974,0.00831541573511314
"ENSG00000172236",2536.82758005746,7.20634801693323,0.698852965407275,10.3116798148428,6.24009452798631e-25,5.52913071448248e-22
"ENSG00000167034",523.630080818951,7.20293610731734,0.874566589898645,8.23600648654106,1.78054285543041e-16,4.45234026039805e-14
"ENSG00000105894",11336.5585637078,7.19068608777924,0.657449757336332,10.9372404621646,7.6492804676726e-28,9.44778856308689e-25
"ENSG00000233432",15.7219768335778,7.18262017937621,2.15294771617498,3.33617956693215,0.000849382821080319,0.00873800969318847
"ENSG00000239402",15.7219768335778,7.18262017937621,2.15294771617498,3.33617956693215,0.000849382821080319,0.00873800969318847
"ENSG00000231402",15.7219768335778,7.18262017937621,2.15294771617498,3.33617956693215,0.000849382821080319,0.00873800969318847
"ENSG00000189182",15.7219768335778,7.18262017937621,2.15294771617498,3.33617956693215,0.000849382821080319,0.00873800969318847
"ENSG00000186076",15.7219768335778,7.18262017937621,2.15294771617498,3.33617956693215,0.000849382821080319,0.00873800969318847
"ENSG00000077327",169.86925905219,7.16350098135838,1.20920978303931,5.92411761948629,3.13978677804419e-09,2.08088730546834e-07
"ENSG00000034239",169.444340759391,7.15986240952054,1.2092152586946,5.92108175780874,3.19830799270696e-09,2.11623109536921e-07
"ENSG00000253768",84.2972520868961,7.15254913359897,1.58371784054772,4.51630268376929,6.29286985425524e-06,0.000162644947615466
"ENSG00000225790",15.2970585407784,7.14309198725246,2.15331057467725,3.31726044131981,0.000909048347860154,0.00922607111813546
"ENSG00000258743",15.2970585407784,7.14309198725246,2.15331057467725,3.31726044131981,0.000909048347860154,0.00922607111813546
"ENSG00000270837",15.2970585407784,7.14309198725246,2.15331057467725,3.31726044131981,0.000909048347860154,0.00922607111813546
"ENSG00000156687",14.872140247979,7.10245017947301,2.15369410147559,3.29779896532511,0.000974458752093534,0.00973240977127674
"ENSG00000253384",14.872140247979,7.10245017947301,2.15369410147559,3.29779896532511,0.000974458752093534,0.00973240977127674
"ENSG00000273819",14.872140247979,7.10245017947301,2.15369410147559,3.29779896532511,0.000974458752093534,0.00973240977127674
